국가명,확진수,사망수,회복수,검사수,인구,위도,경도,면적,확진수율,사망수율,회복수율,검사수율,인구밀도,감염율
Bulgaria,1295426.0,38179.0,1254491.0,10987749.0,6844597.0,42.6979,23.3217,110000.0,11.789730544445455,2.9472158193520896,96.84003563306588,160.53171574601106,62.22360909090909,18.92625672482982
New Zealand,2182355.0,3781.0,2169320.0,7710637.0,4898203.0,-36.85,174.7833,270000.0,28.303173914165587,0.1732532058258166,99.40270945836035,157.41766929627047,18.14149259259259,44.55419671254948
Netherlands,8582500.0,22989.0,8547771.0,25984435.0,17211447.0,52.3667,4.8833,41865.0,33.02938855511001,0.2678590154383921,99.59535100495194,150.97182125361104,411.11780723754924,49.86506945058135
Germany,37779833.0,165711.0,37398100.0,122332384.0,83883596.0,52.5167,13.3833,357580.0,30.88293693352694,0.4386229023299283,98.98958526365111,145.83588428898543,234.58693439230382,45.03840417141869
Belarus,994037.0,7118.0,985592.0,13646641.0,9432800.0,53.9022,27.5618,207600.0,7.284114823567206,0.7160699249625517,99.1504340381696,144.67221821728438,45.4373795761079,10.538090492748706
Serbia,2471198.0,17701.0,2440527.0,12154486.0,8653016.0,44.8167,20.4667,88361.0,20.33157140499401,0.7162922598674812,98.7588610868089,140.4653129036165,97.92799990946232,28.55880539224705
Romania,3325006.0,67576.0,3252104.0,26389988.0,19031335.0,44.4,26.0833,238397.0,12.59949796112071,2.0323572348440875,97.807462603075,138.66598428328857,79.8304299131281,17.471217862540907
Qatar,492534.0,686.0,491585.0,4065369.0,2979915.0,25.3,51.5333,11581.0,12.11535779408954,0.13927972485148235,99.80732294623316,136.42566985971075,257.3106812883171,16.528458026487332
Slovenia,1321852.0,7056.0,1311159.0,2824843.0,2078034.0,46.05,14.5167,20270.0,46.79382181593809,0.5337965218496473,99.19105921086475,135.93824740114934,102.51771090281204,63.610701268602924
Slovakia,1860893.0,20946.0,1839309.0,7390781.0,5460193.0,48.1447,17.1128,49035.0,25.178570437955067,1.12558862868526,98.84012675634763,135.3575047621943,111.35297236667687,34.08108467960748
Croatia,1267580.0,17877.0,1249168.0,5476183.0,4059286.0,45.8131,15.9772,56594.0,23.147144644362687,1.4103251865759951,98.54746840436106,134.90507936617425,71.72643743152985,31.226673853480634
Cuba,1112438.0,8530.0,1103799.0,14298479.0,11305652.0,23.1367,-82.3589,110860.0,7.780114234528022,0.766784306181558,99.22341739494695,126.4719540279499,101.98134584160202,9.839662498014267
Taiwan,9569611.0,16356.0,9129766.0,30207485.0,23888595.0,24.15,120.6667,36000.0,31.67960192647617,0.1709160382799259,95.40373166683578,126.45149285673772,663.5720833333334,40.05932956710095
Saudi Arabia,827962.0,9574.0,815528.0,45048008.0,35844909.0,24.65,46.71,2150000.0,1.8379547437480475,1.1563332616714292,98.49824025740311,125.6747729503233,16.67205069767442,2.3098454511350552
Mongolia,1007871.0,2179.0,1005658.0,4030048.0,3378078.0,47.9214,106.9055,1564000.0,25.00890808248438,0.21619830315586022,99.78042824925015,119.3000280040899,2.1598964194373402,29.835634345920965
Hungary,2192447.0,48677.0,2139857.0,11394556.0,9606259.0,47.4983,19.0408,93030.0,19.241179735305174,2.2202133050422654,97.60131031673743,118.61595653417214,103.25979791465119,22.823109391491528
Peru,4481621.0,218931.0,4258688.0,37754603.0,33684208.0,-12.06,-77.0375,1280000.0,11.870396306378854,4.885085106482677,95.02561684711848,112.08398606254895,26.3157875,13.304813341610998
Armenia,446008.0,8717.0,435162.0,3242901.0,2971966.0,40.1814,44.5144,29743.0,13.753364657138778,1.9544492475471291,97.56820505461785,109.11635597446269,99.92152775442962,15.00717033774949
North Macedonia,346428.0,9638.0,336623.0,2216193.0,2081304.0,41.6505,21.6511,25713.0,15.631671068359118,2.782107681827104,97.1696860530904,106.48098499786671,80.94364718235911,16.644757325215345
Poland,6380225.0,118736.0,5335940.0,38118630.0,37739785.0,52.23,21.0111,312685.0,16.737812980162197,1.8610001998362127,83.63247377639503,101.00383454754711,120.6958600508499,16.905832929360887
Costa Rica,1186176.0,9158.0,860711.0,4659757.0,5182354.0,9.9333,-84.0833,51100.0,25.455748014327785,0.7720608071652099,72.5618289360095,89.91583747463025,101.41592954990216,22.88874901251439
Vietnam,11526508.0,43186.0,10612479.0,85826548.0,98953541.0,10.8167,106.6333,330951.0,13.430003033560197,0.37466681149225767,92.07020027227674,86.73418569225329,298.99755855096373,11.648403769603354
Botswana,329227.0,2800.0,325934.0,2026898.0,2441162.0,-24.6569,25.9086,582000.0,16.24289924801347,0.850477026489322,98.99977826848952,83.03004880462665,4.194436426116838,13.486487172911918
Moldova,598673.0,11953.0,504142.0,3216305.0,4013171.0,47.0228,28.8353,33851.0,18.613688689350045,1.996582441499784,84.20991091965064,80.14373172735475,118.55398658828395,14.917704727757675
Argentina,10037135.0,130421.0,9877032.0,35716069.0,46010234.0,-34.5997,-58.3819,2790000.0,28.102574782235973,1.2993847347873673,98.40489342825418,77.62635808372545,16.49112329749104,21.815005331205228
Ukraine,5370131.0,111020.0,5253302.0,32603805.0,43192122.0,50.45,30.5236,603500.0,16.4708720347211,2.0673611127922205,97.82446647949557,75.48553645963493,71.56938193869097,12.433126114989209
Japan,32588442.0,68399.0,21567425.0,92144639.0,125584838.0,35.6839,139.7744,378000.0,35.3666174762484,0.2098872968520557,66.18120927658954,73.37242334938554,332.2350211640212,25.949344299030745
Azerbaijan,827944.0,10085.0,817654.0,7487550.0,10300205.0,40.3667,49.8352,86600.0,11.057608964213928,1.2180775511387243,98.75716232015692,72.69321338750055,118.94001154734411,8.038131279911418
Lebanon,1228639.0,10790.0,1087587.0,4795578.0,6684849.0,33.8869,35.5131,10452.0,25.620248487252212,0.8782075125402987,88.51965467480683,71.73801532390634,639.5760619977037,18.379457785807876
Colombia,6356309.0,142486.0,6179501.0,36951507.0,51512762.0,4.6126,-74.0705,1140000.0,17.201758510146824,2.241646842530783,97.21838570151326,71.73272324244621,45.18663333333333,12.33928982491756
Gabon,48981.0,306.0,48674.0,1621909.0,2331533.0,0.3901,9.4544,267000.0,3.0199598127885103,0.6247320389538801,99.37322635307568,69.56405935493943,8.732333333333333,2.1008066366635174
Albania,334167.0,3595.0,328951.0,1941032.0,2866374.0,41.33,19.82,28748.0,17.21594492002193,1.0758094006888772,98.43910380139272,67.71733207180918,99.7069013496591,11.658178590791014
India,44682784.0,530740.0,44150289.0,915265788.0,1406631776.0,28.6667,77.2167,3287782.0,4.881946270234675,1.187795281511555,98.80827703126108,65.06790217712243,427.83608402260245,3.176580023455975
Iran,7564350.0,144749.0,7337549.0,54420785.0,86022837.0,35.7,51.4167,1640000.0,13.899744371566856,1.9135682510724648,97.00171197789632,63.263183240515545,52.4529493902439,8.793420751747586
Kazakhstan,1405917.0,13695.0,1383020.0,11575012.0,19205043.0,43.25,76.9,2724900.0,12.14613859579584,0.974097332915101,98.37138323243832,60.270690359818516,7.047980843333701,7.320561583746519
Iraq,2465545.0,25375.0,2439497.0,19544451.0,42164965.0,33.35,44.4167,441839.0,12.615063989262222,1.029184216876999,98.9435195869473,46.35234726270969,95.43060933960108,5.847378267715863
Rwanda,133090.0,1468.0,131559.0,5959042.0,13600464.0,-1.9536,30.0606,26338.0,2.2334126861331063,1.103012998722669,98.84965061236757,43.81499042973828,516.381805755942,0.9785695546857813
South Africa,4055966.0,102595.0,3912506.0,26473049.0,60756135.0,-26.2044,28.0416,1220000.0,15.32111393742368,2.529483728413897,96.46298810197126,43.5726350927359,49.800110655737704,6.675813068095922
Tunisia,1150356.0,29308.0,1121048.0,4997373.0,12046656.0,36.8008,10.18,162155.0,23.019214295190693,2.547733049595082,97.45226695040492,41.48348720175956,74.29099318553236,9.549172816091039
Indonesia,6730289.0,160817.0,6565208.0,114158919.0,279134505.0,-6.2146,106.8451,1916820.0,5.895543737585672,2.389451626817214,97.54719299572426,40.89745873588792,145.62374401352238,2.4111275673353245
Namibia,170741.0,4088.0,166452.0,1062663.0,2633874.0,-22.57,17.0836,824269.0,16.06727626726441,2.394269683321522,97.48800815269911,40.34600743999143,3.1954058687151887,6.482504478194477
El Salvador,201785.0,4230.0,179410.0,2610114.0,6550389.0,13.6989,-89.1914,21041.0,7.730888382653019,2.0962906063384295,88.91146517332805,39.84670223401999,311.31547930231454,3.0805040738801925
Jamaica,153407.0,3480.0,102212.0,1183986.0,2985094.0,17.9714,-76.7931,10991.0,12.956825503004257,2.268475362923465,66.62798959630265,39.66327358535443,271.59439541443,5.139101147233554
Paraguay,806256.0,19820.0,786436.0,2657506.0,7305843.0,-25.3,-57.6333,406752.0,30.338821436339185,2.4582762794943545,97.54172372050564,36.37507677074364,17.9614187514751,11.035769588807206
