국가,국가코드(ISO 2자리 코드),수출품,수입품,무역년도,우리나라와의 무역 수출액(US달러(호주는 AU달러),우리나라와의 무역 수입액(US달러(호주는 AU달러)
북마케도니아,MK,"승용차, 전자제품, 기계품","기계류, 정밀화학제품",2019,9030000,5510000
불가리아,BG,"합성수지, 승용차, 폴리에스텔섬유","곡류, 계측기, 의약품",2019,166000000,255000000
브라질,BR,"반도체, 기계/전자부품 등","철광, 박류, 사료 등",2019,4800000000,4300000000
브루나이,BN,"자동차, 철강관 및 철강선, 레일 및 철구조물, 기타 기계류, 전력용 기기 등","원유, 건전지 및 축전기, 유기화합물, 기계 및 부품, 목재류 등",2019,70000000,410000000
사모아,WS,철강,과일주스,2019,36500000,2900000
사우디아라비아,SA,"자동차, 전기전자, 철강, 섬유류","원유, 석유화학제품",2019,3702000000,21814000000
사이프러스,CY,"승용차, 축전지 등","나프타, 농업용 살포제 등",2019,42600000,48000000
산마리노,SM,"기타의료위생용품, 기타가정용전자부품, 무선전화기, 합성수지","기타가구, 식품포장기계, 꿀 및 로얄제리, 화장품",2019,69000,3072000
상투메프린시페,ST,의료용품 등,전기제품 등,2018,6400000,400000
세네갈,SN,"자동차, 화학 섬유제품 등","갈치 등 수산가공품(90%), 광물",2017,120000000,50000000
세르비아,RS,"승용차, 평판디스플레이 등","사료, 자동차부품 등",2019,142000000,241000000
세이셸,SC,"윤활유, 농산가공품 등","다랑어, 어육 등",2018,19710000,6560000
세인트 루시아,LC,"자동차, 축전지, 강판",폐건전지 등,2019,3330000,40000
세인트 빈센트 그레나딘,VC,"자동차, 강판, 타이어, 축전지 등",어류 등,2019,128000000,35000
세인트 키츠 네비스,KN,"선박, 자동차","전동기, 전동기부품",2019,1000000,17000
소말리아,SO,"축전지, 전기기기","동 웨이스트/스크랩, 기록매체",2018,19300000,5560000
솔로몬제도,SB,"석유제품, 자동차, 기계류","목재, 어류",2019,49000000,10000000
수단,SD,"자동차, 건설중장비 등","동괴, 연괴, 알루미늄 등",2018,164000000,22000000
수리남,SR,"건설중장비, 화물자동차 등","원목, 알루미늄괴, 어류 등",2019,17790000,5790000
스리랑카,LK,"석유화학제품, 기계류, 편직물","섬유, 농산물, 고무",2018,282000000,88000000
스웨덴,SE,"승용차, 전기자동차, 합성수지, 아연도강판 등","승용차, 의약품, 화물자동차, 원동기 등",2019,1071000000,1744000000
스위스,CH,"승용차, 시계, 기타플라스틱제품 등","시계, 의약품, 금 등",2019,589000000,2980000000
스페인,ES,"승용차, 합성수지, 자동차부품, 석유화학합성원료 등","항공기, 가축육류, 기타금속광물, 의약품 등",2019,2700000000,2600000000
슬로바키아,SK,"자동차부품, 디스플레이, 엔진, 무선기기부품 등","자동차, 타이어, 베어링 등",2018,2720000000,190000000
슬로베니아,SI,"자동차부품, 강판, 조명기기, 레이더 및 항행용 무선기기","플라스틱제품, 주철, 의약품",2019,1790000000,110000000
시리아,SY,"자동차, 전자제품 등","알루미늄, 대리석 등",2017,215000000,25000
시에라리온,SL,"의약품, 합성수지 등","어류, 금속광물 등",2017,8050000,18140000
싱가포르,SG,"석유제품, 반도체, 선박부품, 반도체제조용장비, 원동기 및 펌프","반도체제조용장비, 반도체, 석유제품, 컴퓨터, 기타 정밀화학제품",2019,12800000000,6700000000
아랍에미리트,AE,"자동차, 자동차부품, 에어컨 등","원유, 석유제품 등",2019,3473000000,8987000000
아르메니아,AM,"구리, 선출, 비철금속, 금","천연가스, 석유, 담배, 식료품",2019,12730000,16740000
아르헨티나,AR,"자동차부품, 합성수지, 평판디스플레이, 자동차","사료, 은, 화학원료, 어류",2019,341000000,865000000
아이슬란드,IS,"선박, 전기자동차, 승용차, 기타섬유제품 등","기타어류, 기타수산가공품, 계측기, 의료용전자기기 등",2019,98000000,17000000
아이티,HT,"석유소재, 자동차, 백신 등","섬유제품, 뱀장어 등",2019,62000000,4000000
아일랜드,IE,"집적회로반도체, 전산기록매체, 기타정밀화학원료, 승용차,  등","의약품, 의료용기기, 보조기억장치, 안경 등",2019,650000000,1189000000
아제르바이잔,AZ,"차량 및 부품, 공기조절기, 운반하역기계 등","펌프, 동괴, 음료 등",2019,78180000,1310000
아프가니스탄,AF,"담배, 섬유 및 직불, 의류, 가전제품","감초, 철-비합금강 반제품, 아크릴",2019,49940000,38000
안도라,AD,"개별소자반도체, 화학기계, 집적회로반도체, 기타조명기기","자동차부품, 음향기기부품, 연결부품, 평판디스플레이",2019,1427000,158000
알바니아,AL,"자동차, 석유화학제품, 의료기기 등","신발, 의류",2019,20700000,3400000
알제리,DZ,"자동차, 선박해양부품, 전자제품 등","원유, 나프타 등",2019,701000000,1746000000
앙골라,AO,"발전기, 승용차, 시멘트, 건설중장비 등","LPG, 철 및 동제품",2018,159710000,184520000
앤티가바부다,AG,"자동차, 차량부품 등",석유제품 등,2019,500000000,530000000
에리트레아,ER,"차량, 철강, 축전지","아연광, 고무제품 등",2018,760000,116280000
에스와티니,SZ,"의약품, 반도체, 의료용기기","금, 기타의약품",2018,8680000,15520000
에스토니아,EE,"금속절삭가공기계, 승용차, 타이어, 화장품 등","합판, 기타목재류, 제재목, 펌프 등",2019,91000000,64000000
에콰도르,EC,"차량 및 부속품, 화학제품","농수산물, 동괴 및 스크랩",2019,479000000,250000000
에티오피아,ET,"건설중장비, 합성수지 등","커피, 참깨, 당밀 등",2019,92000000,57000000
엘살바도르,SV,"자동차, 섬유제품, 전기, 기계류 등","커피, 당류, 고철 등",2019,149000000,39000000
영국,GB,"승용차, 선박, 제트유및등유, 항공기부품 등","승용차, 의약품, 원유, 원동기 등",2019,5500000000,4200000000
예멘,YE,"직물, 수송기계, 전자기기, 철강","원유, 가스, 동제품, 알미늄 제품, 농산물",2019,161000000,43000000
오만,OM,"자동차, 전자/화학제품, 운반하역기계, 전선 등","원유, LNG, 석유제품 등",2019,641000000,2700000000
오스트리아,AT,"반도체, 자동차부품, 승용차 등","자동차부품, 반도체, 의약품 등",2019,880000000,1550000000
온두라스,HN,"전선, 자동차 및 부품, 편직물, 의류 등","커피, 아연광, 연광, 의류 등",2019,125000000,63000000
요르단,JO,"자동차, 의약품 등","기타 석유화학제품, 동괴 등",2019,531000000,94000000
우간다,UG,"혈액, 합성필라멘트사, 처리기계","커피, 담배, 동물성 생산품",2019,17790000,5030000
우루과이,UY,"자동차, 철강, 전선 등","펄프, 목재, 소가죽 등",2019,121000000,134000000
우즈베키스탄,UZ,"자동차부품, 승용차 등","우라늄, 면사, 펄프 등",2019,2338000000,20000000
우크라이나,UA,"자동차/부품, 플라스틱, 고무제품, 화장품 등","곡물,광물,철광,목재류 등",2019,349000000,456000000
이라크,IQ,"자동차, 기계류, 철구조물 등","원유, 석유제품 등",2019,1786000000,7226000000
이란,IR,"자동차부품, 합성수지, 철강판 등","원유, 동제품, 질소비료, 금속광물 등",2020,146000000,4200000
이란,IR,"자동차부품, 합성수지, 철강판 등","원유, 동제품, 질소비료, 금속광물 등",2019,280000000,2100000000
이스라엘,IL,"자동차, 선박, 합성수지 등","반도체, 반도체 제조용 장비, 계측기 등",2018,1450000000,1270000000
이집트,EG,"자동차, 자동차 부품 등","나프타, 천연가스 등",2018,1847000000,310000000
이탈리아,IT,"승용차, 합성수지, 냉연강판, 열연강판 등","가방, 신발, 직물제의류, 의약품 등",2018,3800000000,6400000000
인도,IN,"무선통신기기, 자동차부품, 철강판, 컴퓨터","석유제품, 천연섬유, 철광, 금속광물, 유기화학품",2019,15100000000,5600000000
인도네시아,ID,"경유, 휘발유, 철강판, 편직물, 화학제품","가스, 원유, 석탄, 고무, 펄프, 목재",2019,7700000000,8800000000
일본,JP,"석유제품, 철강판, 반도체, 정밀화학원료, 합성수지","반도체 제조용장비, 반도체, 철강판, 플라스틱제품, 철강판",2019,28410000000,47580000000
자메이카,JM,"타이어, 계측기부품 등","폐건전지, 고철 등",2019,34600000,3800000
잠비아,ZM,"알루미늄선, 시약","전극, 코발트, 커피",2019,16070000,54540000
적도기니,GQ,"기타정밀화학제품, 특장차 등","원유, 천연가스 등",2020,3800000,119800000
조지아,GE,"차량, 아연도강판, 합성수지 등","동괴, 정밀화학연료 등",2019,86470000,18640000
중국,CN,"반도체, 평판디스플레이 및 센서","반도체, 컴퓨터",2019,136000000000,107000000000
중앙아프리카공화국,CF,"의약품, 제어용케이블, 플라스틱관 등","원목, 금",2020,2800000,400000
지부티,DJ,"화학제품, 기계부품, 전자 등","동, 건설기계 등",2018,36170000,7080000
짐바브웨,ZW,"자동차, 가전제품 등","면화, 담배, 금, 백금, 밀",2019,14080000,13400000
차드,TD,"기타정밀화확제품, 의약품 승요차 등","집적회로 반도체, 안전유리 등",2020,630000,20000
체코,CZ,"자동차, 컴퓨터, 휴대전화","전자기기, 광학기기 등",2019,2100000000,900000000
칠레,CL,"차량, 석유, 시멘트 등","구리, 셀룰로오스, 와인 등",2019,1300000000,4700000000
카메룬,CM,"의약품, 합성수지, 기타석유화학제품 등",천연가스,2020,27000000,53000000
카보베르데,CV,"TV, 자동차, 기기 등","파이프, 골동품 등",2018,7000000,13000
카자흐스탄,KZ,"기계류, 자동차, 철강제품 등","원유, 합금철, 우라늄 등",2019,2657000000,1561000000
카타르,QA,"철강재용기, 승용차, 전선 등","천연가스, 원유, LPG 등",2019,357000000,13040000000
캄보디아,KH,"편직물, 화물자동차, 음료수, 의류, 알루미늄 등","의류, 신발, 제어용 케이블, 가방 등",2019,697000000,336000000
캐나다,CA,"자동차, 휴대전화, 자동차부품, 철강제품, 기계류","광물(유연탄, 동, 철광석 등), 목재, 비료, 육류",2019,5600000000,5800000000
케냐,KE,"합성수지, 화학제품, 타이어 등","동, 커피 등",2018,239600000,50450000
코모로,KM,"기계류, 타이어, 가전제품",화학제품,2019,430000,210000
